PHÂN LOẠI VIDEO,THÔNG TIN TRÍCH XUẤT THEO LOẠI,THÔNG TIN CHUNG,row_index,THÔNG TIN TRÍCH XUẤT,phan_loai_video,thong_tin_theo_loai,thong_tin_chung,loại_video,thông_tin_loại,thông_tin_chung,thong_tin_video,REVIEW ĐỒ ĂN,NẤU ĂN,MUKBANG,KHÁC,thông_tin_chi_tiet,thong_tin_trich_xuat,thong_tin_review_do_an,thong_tin_loai,error,PHAN_LOAI_VIDEO,THONG_TIN_THEO_LOAI,THONG_TIN_CHUNG,THÔNG TIN BỔ SUNG,thong_tin_khac,video_type,category_info,general_info,PHÂN LOẠI VIDEO (dự phòng - nội dung chính khác với phân loại),THÔNG TIN TRÍCH XUẤT THEO LOẠI (dự phòng - nội dung chính khác với phân loại),THÔNG TIN KHÁC,loai_video,OUTPUT_FORMAT,Lý do phân loại Review đồ ăn,Lý do chọn 'ngoài đường' làm địa điểm,Lưu ý về 'tên_quán',review_info,nau_an_info,mukbang_info,khac_info,THONG_TIN_TRICH_XUAT,Phân loại video,Thông tin trích xuất,Thông tin chung,thông_tin_trích_xuất,message,extracted_info,common_info,phân_loại_video,thông_tin_theo_loại,phan_tich_them,thong_tin_nau_an,thong_tin_mukbang,thong_tin,LƯU Ý,thông_tin_chi_tiết,ghi_chu,1. PHÂN LOẠI VIDEO,2. THÔNG TIN TRÍCH XUẤT THEO LOẠI,3. THÔNG TIN CHUNG
Khác,"{'KHÁC': {'chủ_đề': 'Tiệc Tết Coca-Cola và cập nhật cá nhân', 'từ_khóa': ['tiệc Tết', 'Coca-Cola', 'gia đình', 'năm mới', 'cộng đồng'], 'tóm_tắt': 'Sammy tham gia tiệc Tết diệu kỳ của Coca-Cola, chia sẻ về căn bếp mới và gửi lời chúc năm mới.'}}","{'giá_cả': None, 'tên_quán': 'Coca-Cola (tổ chức tiệc)', 'giờ_hoạt_động': None, 'số_người': '1000 gia đình'}",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'gỏi bò sốt thái', 'món_phụ': None, 'nguyên_liệu': ['bò', 'xoài xanh', 'cóc non', 'nước mắm', 'tương ớt', 'đường', 'bột ngọt', 'nước lọc', 'ớt tỏi xay nhuyễn', 'lá hung quế', 'đậu rồng (tùy chọn)', 'tiêu', 'hành phi'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'Sốt Thái', 'món_phụ': 'chân gà, tay heo, hải sản', 'nguyên_liệu': ['me cục/nước cốt me', 'nước mắm ngon', 'đường mía lỏng', 'ớt bột hàn quốc', 'ớt bột việt nam', 'chân gà', 'tay heo', 'hải sản', 'sả', 'tắc', 'xoài', 'cóc', 'gừng'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh tráng muối tôm tây ninh'], 'địa_điểm': [], 'đánh_giá': ['tích cực']}}","{'giá_cả': [], 'tên_quán': ['kênh khải hà'], 'giờ_hoạt_động': [], 'số_người': []}",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,"{'MUKBANG': {'món_chính': ['ốc bươu luộc sả', 'ốc bươu luộc khủng long', 'ốc lát'], 'số_người': None, 'đánh_giá': ['tích cực']}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Kỷ niệm về món ăn tuổi thơ', 'từ_khóa': ['cơm chan tóp mỡ', 'tuổi thơ', 'kỷ niệm', 'gia đình', 'quý'], 'tóm_tắt': 'Mẹ chia sẻ kỷ niệm về món cơm chan tóp mỡ thời thơ ấu, một món ăn đơn giản nhưng quý giá gợi nhớ về gia đình và quá khứ khó khăn.'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['sầu riêng'], 'địa_điểm': ['siêu thị', 'chợ'], 'đánh_giá': 'tích cực (hỗn hợp, có múi ngon, có múi chưa chín)'}}","{'giá_cả': 'hơn 1 triệu (cho sầu riêng)', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': 'càng cua', 'địa_điểm': 'Nhật Bản (siêu thị gần nhà)', 'đánh_giá': 'tích cực'}}","{'giá_cả': '170 cành (bọc càng cua mini)', 'tên_quán': 'siêu thị gần nhà', 'giờ_hoạt_động': None, 'số_người': 1}",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,190,,Review đồ ăn,"{'review_do_an': {'mon_chinh': ['sô cô la'], 'dia_diem': [], 'danh_gia': ['tích cực']}}","{'gia_ca': ['170.000'], 'ten_quan': [], 'gio_hoat_dong': [], 'so_nguoi': []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,,191,"{'NẤU ĂN': {'món_chính': 'xương hầm cay', 'món_phụ': None, 'nguyên_liệu': ['xương', 'lá nguyệt quế', 'tiêu', 'táo', 'hành tây', 'tỏi', 'gừng', 'nước tương', 'ớt bột', 'hành baro', 'ớt', 'củ sắn', 'miến'], 'đánh_giá': 'tích cực'}, 'THÔNG TIN CHUNG': {'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 'gia đình'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'bánh xèo', 'món_phụ': None, 'nguyên_liệu': ['bột bánh xèo gói', 'nước cốt dừa (100%)', 'nước soda không đường', 'bột nghệ (tùy chọn)', 'hành lá (tùy chọn)', 'thịt bằm', 'củ sắn', 'hành tây', 'nấm kim châm', 'đậu xanh (hạt)'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,193,,Nấu ăn,"{'mon_chinh': 'Bánh xèo', 'mon_phu': [], 'nguyen_lieu': ['bột bánh xèo', 'hành tây', 'cà rốt', 'giá', 'mắm (pha sẵn)', 'rau'], 'danh_gia': 'tích cực'}","{'gia_ca': None, 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': '5+'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['sữa kem brazil', 'bánh tráng nướng trứng lòng đào', 'ốc hút', 'bánh canh bột gạo chả cá'], 'địa_điểm': ['Đà Lạt', 'khu Hòa Bình', 'ngã tư ngã năm', 'chợ Bùi Thị Xuân Hòa Bình'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['20k (sữa kem brazil)', '15-25k (bánh tráng nướng trứng lòng đào)', '50-70k (ốc hút)', '40k (bánh canh bột gạo chả cá)'], 'tên_quán': ['quán sữa kem béo', 'tiệm bánh tráng nướng trứng lòng đào', 'quán ốc hút', 'quán bánh canh bột gạo chả cá'], 'giờ_hoạt_động': ['bán tới 1:00 sáng (quán sữa kem béo)'], 'số_người': []}",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'hải sản nướng sốt cay', 'món_phụ': ['nấm đùi gà', 'nấm hương', 'nấm kim châm', 'nấm mỡ'], 'nguyên_liệu': {'món_chính_nguyên_liệu': ['tôm', 'bào ngư', 'bạch tuộc', 'nấm đùi gà', 'nấm hương', 'nấm kim châm', 'nấm mỡ'], 'sốt_nguyên_liệu': ['tỏi băm', 'hành baro', 'hành tây băm nhỏ', 'ớt bột', 'tương ớt', 'rượu nấu ăn', 'sốt siêu cay']}, 'đánh_giá': 'tích cực'}}",{'số_người': 'gia đình'},195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Người bán hàng rong lớn tuổi, kẹo kéo, ủng hộ kinh doanh địa phương', 'từ_khóa': ['kẹo kéo', 'người bán hàng rong', 'lớn tuổi', 'ủng hộ', 'kinh doanh địa phương'], 'tóm_tắt': 'Video phỏng vấn một ông cụ 85 tuổi bán kẹo kéo từ năm 1975, chia sẻ về cuộc sống và công việc của ông, đồng thời kêu gọi mọi người ủng hộ.'}}","{'giá_cả': '10.000 VNĐ/cây kẹo kéo', 'tên_quán': None, 'giờ_hoạt_động': '6:00 sáng - 6:00 tối (ước tính dựa trên khung giờ bán hàng)', 'số_người': 1}",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['cơm tấm xà bì chưởng'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': 'bà anh', 'giờ_hoạt_động': None, 'số_người': 1}",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,"{'MUKBANG': {'món_chính': ['băm chân gà sốt cay', 'nấm sốt cay', 'chân gà', 'nấm kim châm', 'chân gà rút xương'], 'số_người': None, 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['xúc xích gân bò'], 'địa_điểm': [], 'đánh_giá': 'trung lập'}}","{'giá_cả': '40.900 đồng', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",200,"{'REVIEW ĐỒ ĂN': {'món_chính': ['gà nướng sốt tiêu đen', 'gà nướng cơm lam', 'đùi gà', 'gà cay'], 'địa_điểm': [], 'đánh_giá': ['tích cực']}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,,{},201,"{'KHÁC': {'chủ_đề': 'Không có nội dung', 'từ_khóa': ['không có diễn văn', 'tập tin âm thanh', 'trống'], 'tóm_tắt': 'Transcript này không chứa bất kỳ nội dung diễn văn nào liên quan đến ẩm thực hoặc chủ đề khác.'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'đu đủ cà ngâm mắm nêm', 'món_phụ': 'thịt luộc', 'nguyên_liệu': ['đu đủ', 'cà pháo', 'mắm nêm', 'tỏi', 'ớt', 'muối', 'đường', 'bột ngọt'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': '750k', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",203,"{'REVIEW ĐỒ ĂN': {'món_chính': ['đậu kèm với cả sốt ớt', 'bánh ngô', 'bánh quy phô mai', 'bánh quy rau củ'], 'địa_điểm': [], 'đánh_giá': 'trung lập'}, 'NẤU ĂN': {}, 'MUKBANG': {}, 'KHÁC': {}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['sườn bò úc van đỏ'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}, 'NẤU ĂN': {}, 'MUKBANG': {}, 'KHÁC': {}}","{'giá_cả': [], 'tên_quán': ['anh nam vlog'], 'giờ_hoạt_động': [], 'số_người': []}",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Không có nội dung', 'từ_khóa': ['không nội dung', 'bài phát biểu', 'video trống'], 'tóm_tắt': 'Video không có nội dung bài phát biểu.'}}",{},205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,206,,Review đồ ăn,,"{'gia_ca': ['1.000đ/viên cốm', '5.000đ/3 tôm chiên', '50.000đ/dĩa lộn xộn', '30.000đ/tô hủ tiếu địa phương', '35.000đ/cơm tấm', '25.000đ/tô hủ tiếu kiều thường'], 'ten_quan': ['bánh canh bà bốn', 'hủ tiếu bà già', 'bánh bông lan (nhiều vị sốt)', 'bánh tiêu đồ chiểu', 'xe chả cá viên chiên (vỉa hè)', 'bánh mì không tên', 'quán hủ tiếu địa phương (không tên)', 'cơm tấm bến đình (tấm chú cảnh)', 'hủ tiếu kiều (không tên)'], 'gio_hoat_dong': ['ăn sáng', 'bán khuya', 'bánh tiêu đồ chiểu: phải tới sớm'], 'so_nguoi': '1'}",,,,,,,,,,"{'review_do_an': {'mon_chinh': ['bánh canh chả cá', 'bánh canh sò', 'bún riêu tôm', 'bánh mì chảo', 'hủ tiếu', 'hủ tiếu trộn', 'bánh bông lan', 'rau má', 'bánh tiêu đồ chiểu', 'chả cá viên chiên', 'viên cốm', 'tôm chiên', 'dĩa lộn xộn', 'bánh mì', 'hủ tiếu địa phương', 'cơm tấm', 'hủ tiếu kiều'], 'dia_diem': 'Vũng Tàu', 'danh_gia': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'heo quay', 'món_phụ': 'nước chấm heo quay', 'nguyên_liệu': ['ba rọi', 'hành', 'gừng', 'gia vị ướp (không chi tiết trong transcript)', 'giấm ăn', 'dầu ăn', 'tương ớt chinsu', 'đường', 'nước tương', 'tương đen ăn phở', 'nước heo quay', 'tỏi', 'hành tím'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': 'Lotte (nơi mua nguyên liệu)', 'giờ_hoạt_động': None, 'số_người': None}",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh tạc', 'bánh bao nhân kim sa', 'chân gà tàu xì', 'hải sản', 'tôm cuốn', 'há cảo trân châu', 'há cảo thanh cuộn', 'há cảo tôm', 'cuộn rong biển', 'bánh bao kim sa'], 'địa_điểm': 'Quận 5, Sài Gòn, gần tòa nhà Ba Cây Nhang', 'đánh_giá': 'Tích cực'}}","{'giá_cả': None, 'tên_quán': 'quán đi sắm bình dân', 'giờ_hoạt_động': None, 'số_người': None}",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tình yêu tan vỡ, sự nhớ nhung và quyết định buông bỏ', 'từ_khóa': ['tình yêu', 'tan vỡ', 'nhớ nhung', 'buông bỏ', 'champagne'], 'tóm_tắt': 'Người nói nhớ về những kỷ niệm trong quá khứ với người yêu, cảm thấy đau khổ và bị ám ảnh bởi người đó, nhưng cuối cùng quyết định buông bỏ mối quan hệ.'}}",{},209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Động viên/Triết lý', 'từ_khóa': ['phiền muộn', 'niềm tin', 'nghịch cảnh', 'trái tim', 'mộng'], 'tóm_tắt': 'Video mang thông điệp động viên, khuyến khích người xem vượt qua nỗi buồn và khó khăn bằng cách giữ vững niềm tin và tiến lên phía trước.'}}",{},210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tự yêu bản thân và tìm kiếm những điều tốt đẹp trong cuộc sống', 'từ_khóa': ['love myself', 'good parts', 'my way', 'share', 'positive'], 'tóm_tắt': 'Video này nói về việc yêu bản thân dù trong hoàn cảnh tốt hay xấu, khuyến khích tìm kiếm những khía cạnh tích cực và chia sẻ những khoảnh khắc trong cuộc sống.'}}",{},211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHÁC,"{'KHÁC': {'chủ_đề': 'Review homestay', 'từ_khóa': ['homestay', 'Đà Lạt', 'review', 'chỗ ở', 'du lịch'], 'tóm_tắt': 'Video review một homestay đẹp ở Đà Lạt, gần chợ, giá phải chăng, tiện nghi, thích hợp cho nhóm đông người và sống ảo.'}}","{'giá_cả': 'từ 950.000 một đêm cho hai người', 'tên_quán': 'một chiếc home', 'giờ_hoạt_động': None, 'số_người': '2-5'}",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Làm giỏ quà Tết', 'từ_khóa': ['giỏ quà tết', 'tự làm', 'đồ chất lượng', 'trang trí', 'mua sắm'], 'tóm_tắt': 'Video hướng dẫn tự làm giỏ quà Tết chất lượng với các mẹo mua sắm và trang trí.'}}","{'giá_cả': 'gần 1 triệu', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,214,,Khác,,"{'gia_ca': None, 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': None}",,,,,,,,,,"{'KHÁC': {'chu_de': 'Ăn vặt tại nhà trước khi đi chợ Tết', 'tu_khoa': ['ăn vặt tại nhà', 'đi chợ Tết', 'đồ ăn Tết', 'giỏ đi chợ', 'khô bò mứt'], 'tom_tat': 'Video ghi lại cảnh người nói tìm thấy nhiều món ăn vặt tại nhà như bánh bò, heo quay, khô bò, mứt, bánh kẹo... trước khi chuẩn bị đi chợ Tết. Người này vừa ăn vừa giới thiệu các món ăn và tìm được giỏ đi chợ.'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Review siêu thị giá rẻ', 'từ_khóa': ['siêu thị', 'giá rẻ', 'sinh viên', 'nhu yếu phẩm', 'thành đô'], 'tóm_tắt': 'Video giới thiệu siêu thị Thành Đô ở Hà Nội có giá rẻ, đặc biệt là các nhu yếu phẩm cho sinh viên, rẻ hơn Big C và tạp hóa.'}}","{'giá_cả': {'7 up, mirinda, pepsi, coca (chai nhỏ)': '4.500đ', 'c2 (chai to)': '8.500đ', 'nước lọc': '3.000đ', 'mì ba miền': '<3.000đ/gói', 'hảo hảo': '3.500đ/gói', 'mì tương đen (giảm giá)': '5.600đ (giá cũ hơn 8.000đ)', 'bento (loại nhỏ)': '4.000đ', 'bim bim': '4.000-5.000đ', 'nho (khay)': '19.500đ', 'táo': '<17.000đ', 'hoa quả ngọt (khay)': '<=20.000đ', 'hành, tỏi, ớt, sả': 'mấy nghìn', 'tổng chi tiêu': '>100.000đ'}, 'tên_quán': 'siêu thị Thành Đô', 'địa_điểm': '360 Hồ Tùng Mậu, Hà Nội', 'giờ_hoạt_động': None, 'số_người': None}",215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['buffet hải sản', 'cua hấp', 'ghẹ hấp', 'ốc', 'sò', 'tôm', 'mực', 'cá', 'hào sốt phô mai', 'ốc len xào dừa', 'ốc hương xa tế'], 'địa_điểm': ['Sài Gòn', 'Quận 1', 'tòa nhà Bitexco tầng 4'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['Buổi trưa: 435.000 VNĐ (bao gồm VAT)', 'Buổi tối: 485.000 VNĐ (bao gồm VAT)', 'Khoảng 600.000 VNĐ/người (ước tính bao gồm nước và thuế)'], 'tên_quán': 'Buffet Cô Vân Long Premium', 'giờ_hoạt_động': None, 'số_người': '600 chỗ ngồi'}",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tết Nguyên Đán', 'từ_khóa': ['xuân', 'tết', 'gia đình', 'bánh chưng', 'hạnh phúc'], 'tóm_tắt': 'Video mô tả không khí Tết vui tươi, ấm áp với hình ảnh gia đình sum vầy, chúc Tết và món bánh chưng truyền thống.'}}",{},217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['ốc gạo', 'ốc hút', 'ốc đá', 'ốc bưu', 'ốc quế song trà', 'ốc mỡ'], 'địa_điểm': ['quán ốc 76'], 'đánh_giá': 'trung lập'}}","{'giá_cả': {'ốc lon': {'ốc gạo': '40', 'ốc hút': '30', 'ốc quế song trà': '20', 'ốc mỡ': '30'}, 'ốc tô': {'ốc hút': '50', 'ốc đá': '70', 'ốc bưu': '50'}}, 'tên_quán': 'quán ốc 76', 'giờ_hoạt_động': '7:00 sáng đến 10:00 đêm', 'số_người': None}",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'chủ_đề': 'Chào hỏi và kết thúc video', 'từ_khóa': ['chào hỏi', 'kết thúc video', 'cảm ơn', 'hẹn gặp lại'], 'tóm_tắt': 'Video mở đầu bằng câu hỏi mở và kết thúc bằng lời cảm ơn và hẹn gặp lại khán giả.'}",{},219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'món_chính': 'bánh chưng không nhân', 'món_phụ': None, 'nguyên_liệu': ['gạo nếp', 'lá dong', 'lạt'], 'đánh_giá': 'tích cực'}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['lẩu gà lá é'], 'địa_điểm': ['Đà Lạt', 'Phan Như Thạch', 'khu Hòa Bình'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['nồi nhỏ (cho ít người): 200.000 VNĐ', 'nồi vừa: 250.000 VNĐ', 'nồi lớn (cho 3 người): 300.000 VNĐ', 'trứng non: 100.000 VNĐ/phần'], 'tên_quán': 'Tao Ngộ', 'giờ_hoạt_động': None, 'số_người': None}",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['tiết canh hấp', 'tiết canh heo', 'tiết canh củ dền', 'tiết canh rau câu'], 'địa_điểm': None, 'đánh_giá': 'tiêu cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'giò', 'món_phụ': [], 'nguyên_liệu': ['giò'], 'đánh_giá': 'trung lập'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",225,"{'REVIEW ĐỒ ĂN': {'món_chính': ['Món Thái'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}, 'NẤU ĂN': {}, 'MUKBANG': {}, 'KHÁC': {}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['tôm tít vằn hấp sả'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': '500.000đ/con', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,227,,Review đồ ăn,,"{'gia_ca': '5,6 triệu cho 2,58 kg cua hoàng đế', 'ten_quan': [], 'gio_hoat_dong': [], 'so_nguoi': '2 (người nói và cameraman)'}",,,,,,,,,,"{'review_do_an': {'mon_chinh': ['cua hoàng đế'], 'dia_diem': [], 'danh_gia': 'tích cực'}, 'nau_an': {'mon_chinh': [], 'mon_phu': [], 'nguyen_lieu': [], 'danh_gia': []}, 'mukbang': {'mon_chinh': [], 'so_nguoi': [], 'danh_gia': []}, 'khac': {'chu_de': [], 'tu_khoa': [], 'tom_tat': []}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'mì tương đen', 'món_phụ': 'cơm', 'nguyên_liệu': ['sốt tương đen gói', 'thịt (không nói rõ loại thịt)', 'hải sản (không nói rõ loại hải sản)', 'hành tây', 'bí ngòi', 'hành barô', 'rượu nấu ăn', 'nước tương', 'tinh bột khoai tây', 'dầu ăn', 'mì tươi', 'cơm'], 'đánh_giá': 'tích cực'}}","{'giá_cả': 'mắc (rau mỡ hành mắc hơn thịt)', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 'gia đình'}",228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
